Instancias;f1;c1;t1;alfa1;f2;c2;t2;alfa2;mejor
random-1;1.2420749279538905;15;0.062003374099731445;0.8377452781670076;1.2420749279538905;15;0.14300823211669922;0.5;No
random-4;1.0167926112510495;26;1.673095703125;0.75;1.465;27;5.761329412460327;0.5;No
random-5;0.9129834254143646;31;3.6512086391448975;0.75;1.4591754244139046;32;3.4071948528289795;0.5;No
random-6;0.9813988095238095;19;0.09900569915771484;0.06312405461868897;0.9672131147540983;18;0.2590146064758301;0.5;No
random-8;0.8550824175824175;22;0.7140407562255859;0.75;0.9228630993745657;23;1.9691126346588135;0.75;No
random-10;0.8988959907030796;31;3.3231899738311768;0.75;1.0688427299703265;30;2.5841479301452637;0.4816757315593563;No
market-1;1.5434402332361514;8;0.03000164031982422;0.011055348551232469;2.1429061588608684;8;0.25501465797424316;0.011055348551232469;Si
market-2;1.231047227926078;8;0.05100297927856445;0.75;1.3260350731555461;8;0.3060171604156494;0.5;Si
market-5;1.4724891506509605;8;0.02300119400024414;0.25;2.8115777525539163;8;0.38802218437194824;0.20529873763273188;Si
wind-2005;90391.75;4;0.0030002593994140625;0.25;90391.75;4;0.016000747680664062;0.5;No
wind-2006;87219.51219512195;5;0.005000114440917969;0.5;90034.2;5;0.052002906799316406;0.5;No
brock200-2;0.5454545454545454;12;0.06200385093688965;0.75;0.5454545454545454;12;0.824047327041626;0.75;Si
football;0.5263157894736842;10;0.004000186920166016;0.25;0.5263157894736842;10;0.1650090217590332;0.75;Si
johnson16-2-4;0.5555555555555556;10;0.06400346755981445;0.25;0.5555555555555556;10;0.4110231399536133;0.5;Si
karate;0.5454545454545454;6;0.0009999275207519531;0.25;0.5454545454545454;6;0.010000228881835938;0.25;No
keller4;0.5416666666666666;13;0.08100438117980957;0.75;0.5416666666666666;13;0.5060286521911621;0.5;Si
c-fat500-10;1.0080160320641283;126;84.0878095626831;0.5;1.0080160320641283;126;98.44963097572327;0.25;Si
email;1.4532179556517035;12;0.003999948501586914;0.75;1.4532179556517035;12;0.004000186920166016;0.09812008263559502;No
jazz;0.8886428345460298;30;0.21601223945617676;0.8064584794046742;0.8886428345460298;30;0.0630035400390625;0.5;No
p-hat1000-1;0.8057726999398677;9;0.14700841903686523;0.75;2.075268817204301;10;0.6540372371673584;0.3495945647506288;Si
polbooks;2.975;6;0.0009999275207519531;0.75;2.975;6;0.004000425338745117;0.5;No
sanr400-0-7;1.335166612746684;18;0.5860335826873779;0.25;2.046855213170114;18;3.103177547454834;0.5;No
